705  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'washerConfig' to allow for resolving potential circular references
706  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'washerConfig'
706  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'sWasher'
706  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'sWasher'
708  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'washerConfig'
711  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'sWasher' to allow for resolving potential circular references
712  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'sWasher'
712  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'lWasher'
712  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'lWasher'
712  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'washerConfig'
713  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'lWasher' to allow for resolving potential circular references
713  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'lWasher'
713  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'washerUser'
713  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'washerUser'
713  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'washerConfig'
714  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'lWasher'
714  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'washerUser' to allow for resolving potential circular references
714  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'washerUser'
718  [main] TRACE o.s.c.e.EventListenerMethodProcessor -- No @EventListener annotations found on bean class: com.ssafy.live.washer.bean.WasherConfig$$SpringCGLIB$$0
718  [main] TRACE o.s.c.e.EventListenerMethodProcessor -- No @EventListener annotations found on bean class: com.ssafy.live.washer.bean.SWasher
718  [main] TRACE o.s.c.e.EventListenerMethodProcessor -- No @EventListener annotations found on bean class: com.ssafy.live.washer.bean.LWasher
718  [main] TRACE o.s.c.e.EventListenerMethodProcessor -- No @EventListener annotations found on bean class: com.ssafy.live.washer.bean.WasherUser
732  [main] TRACE o.s.c.i.s.SpringFactoriesLoader -- Loaded [org.springframework.beans.BeanInfoFactory] names: []
734  [main] TRACE o.s.c.a.AnnotationConfigApplicationContext -- No 'lifecycleProcessor' bean, using [DefaultLifecycleProcessor]
735  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'lifecycleProcessor'
737  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'washerUser'
737  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'sWasher'
737  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'lWasher'
511  [main] TRACE o.s.c.a.AnnotationConfigApplicationContext -- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@be64738, started on Thu Apr 17 09:59:08 KST 2025
530  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
530  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
541  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
543  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
